Dataset,Variant,Estimator,FFN,PSNR,SSIM,RMSE,Params_M,GMACs
LOLv1,Original,Original,Original,22.42,0.806,9.46,4.60,46.14
LOLv1,AIPM-only,AIPM,Original,22.59,0.803,9.08,4.60,46.15
LOLv1,BAIR-only,BAIR,Original,23.00,0.803,9.28,4.63,48.04
LOLv1,EIE,AIPM+BAIR,Original,22.81,0.800,9.11,4.63,48.05
LOLv1,IGFFN-only,Original,IGFFN,22.78,0.809,8.98,6.53,62.16
LOLv1,Full,AIPM+BAIR,IGFFN,23.02,0.811,8.81,6.56,64.07
LOLv2-real,Original,Original,Original,21.04,0.857,9.80,4.60,46.14
LOLv2-real,AIPM-only,AIPM,Original,21.51,0.861,9.49,4.60,46.15
LOLv2-real,BAIR-only,BAIR,Original,21.30,0.859,9.60,4.63,48.04
LOLv2-real,EIE,AIPM+BAIR,Original,21.39,0.861,9.57,4.63,48.05
LOLv2-real,IGFFN-only,Original,IGFFN,21.58,0.850,9.74,6.53,62.16
LOLv2-real,Full,AIPM+BAIR,IGFFN,21.60,0.863,9.56,6.56,64.07
LOLv2-syn,Original,Original,Original,24.97,0.936,8.48,4.60,46.14
LOLv2-syn,AIPM-only,AIPM,Original,25.16,0.937,8.54,4.60,46.15
LOLv2-syn,BAIR-only,BAIR,Original,25.19,0.935,8.57,4.63,48.04
LOLv2-syn,EIE,AIPM+BAIR,Original,25.47,0.940,8.45,4.63,48.05
LOLv2-syn,IGFFN-only,Original,IGFFN,25.22,0.939,8.48,6.53,62.16
LOLv2-syn,Full,AIPM+BAIR,IGFFN,25.59,0.940,8.34,6.56,64.07
