model,dataset,num_images,tv_m,laplacian_energy,edge_gradient_mean,dark_region_variance
Original Estimator,LOLv1,15,0.001883,0.000682,0.019413,0.000601
Original Estimator,LOLv2-real,100,0.002035,0.000685,0.022753,0.000631
Original Estimator,LOLv2-syn,100,0.002988,0.000986,0.056735,0.000954
Original Estimator,DICM,69,0.002330,0.000627,0.049721,0.000626
Original Estimator,LIME,10,0.002010,0.000511,0.040096,0.000586
Original Estimator,MEF,17,0.002157,0.000713,0.042967,0.000650
Original Estimator,NPE,8,0.002338,0.000672,0.048483,0.000497
Original Estimator,VV,24,0.001324,0.000195,0.036047,0.000192
Original Estimator,Overall,343,0.002328,0.000723,0.040977,0.000689
EIE-only,LOLv1,15,0.001849,0.000614,0.017694,0.000485
EIE-only,LOLv2-real,100,0.002033,0.000622,0.020474,0.000485
EIE-only,LOLv2-syn,100,0.003038,0.000914,0.056333,0.000760
EIE-only,DICM,69,0.002333,0.000577,0.048505,0.000491
EIE-only,LIME,10,0.002044,0.000466,0.038414,0.000413
EIE-only,MEF,17,0.002149,0.000633,0.042309,0.000503
EIE-only,NPE,8,0.002336,0.000598,0.046803,0.000432
EIE-only,VV,24,0.001344,0.000182,0.036658,0.000144
EIE-only,Overall,343,0.002343,0.000662,0.039798,0.000540
