Dataset,Design,M,F,PSNR,SSIM,Normalized_RGB_MSE
LOLv1,Original,0,0,21.98,0.799,0.006346
LOLv1,Original,1,0,22.20,0.803,0.006033
LOLv1,Original,0,1,22.17,0.802,0.006074
LOLv1,Original,1,1,22.42,0.806,0.005728
LOLv1,Redesigned,0,0,22.45,0.803,0.005695
LOLv1,Redesigned,1,0,22.73,0.807,0.005339
LOLv1,Redesigned,0,1,22.70,0.806,0.005377
LOLv1,Redesigned,1,1,23.02,0.811,0.004989
LOLv2-real,Original,0,0,20.72,0.850,0.008463
LOLv2-real,Original,1,0,20.88,0.854,0.008156
LOLv2-real,Original,0,1,20.86,0.853,0.008213
LOLv2-real,Original,1,1,21.04,0.857,0.007870
LOLv2-real,Redesigned,0,0,21.18,0.854,0.007612
LOLv2-real,Redesigned,1,0,21.38,0.859,0.007269
LOLv2-real,Redesigned,0,1,21.38,0.858,0.007286
LOLv2-real,Redesigned,1,1,21.60,0.863,0.006918
LOLv2-syn,Original,0,0,24.61,0.929,0.003463
LOLv2-syn,Original,1,0,24.79,0.933,0.003323
LOLv2-syn,Original,0,1,24.76,0.932,0.003346
LOLv2-syn,Original,1,1,24.97,0.936,0.003184
LOLv2-syn,Redesigned,0,0,25.07,0.932,0.003108
LOLv2-syn,Redesigned,1,0,25.32,0.937,0.002941
LOLv2-syn,Redesigned,0,1,25.30,0.936,0.002955
LOLv2-syn,Redesigned,1,1,25.59,0.940,0.002761
